TrainCategory,TrainID,Route
IC,160,[FA - SNO - MD - KA - OD - MV - LV - UV - NG - SPR - KØ - FO - SG - SO - FJ - RG - KY - RO - TRK - HTÅ - GL - VAL - KH]
IC,433,[FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RØ,2455,[KK - KN - KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
M,9115,[NÆ - MOG - VO]
RØ,3310,[RO - TRK - HTÅ - GL - VAL - KH - KN - KK]
RØ,4437,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
IC,850,[ES - JNE - BM - GØ - VN - LK - KD - TL - MD - KA - OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK - HGL]
IC,465,[FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
L,4062,[ABL - LIH - ABV - AB - OG - HB - FP - RD - LG - AR]
IC,802,[OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK - HGL]
RØ,254,[SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
M,12199,[HGL - KK - KN - KH]
RØ,2554,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,2404,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH]
M,6432,[KH - BAN - CPH]
RØ,3431,[HG - SQ - GÆ - HUM - NI - OK - RU - HL - HGL - KK - KN - KH]
M,6348,[KH - KN - KK - HGL]
L,35,[CPH - TÅT - KH - GB - OD - HP - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
IC,246,[OD - MV - NG - SPR - SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,1512,[KB - KBØ - VÆ - SE - JY - MØ - KS - RT - HK - PE - RO - TRK - HTÅ - GL - KH - KN - KK]
RØ,4266,[RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,4869,[NÆ - MOG - LU - VO - MN - NV - EK - TN - NF]
IC,4153,[AR - BR - HA - LG - RD - FP - HB - AD - SØ - SR - AB - ABV - LIH - ABL]
RR,4714,[FA - SNO - MD - KA - NA - EB - GD - AP - BD - SC - TP - HP - OD]
IC,4128,[ABL - LIH - ABV - AB - OG - SØ - AD - HB - FP - RD - LG - HA - HN - AR]
IC,185,[KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD]
IC,4107,[AR - BR - HA - LG - RD - FP - HB - AD - SØ - SR - AB - ABV - LIH - ABL]
RØ,4422,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH - KN - KK]
