TrainCategory,TrainId,Route
L,4022,"ABL/86, AR/86"
RV,2357,"ES/86, FA/86"
RØ,4227,"HG/86, NÆ/86"
EX,1199,"KH/86, PA/86, HMB/80"
IC,4120,"ABL/86, AR/86"
IC,121,"KH/86, FA/86"
M,9179,"SG/86, OD/86"
L,926,"SDB/86, FA/86"
RV,4719,"OD/86, FA/86"
IC,858,"ES/86, OD/86, HGL/86"
M,7087,"KD/86, FA/86"
RØ,1504,"KB/86, KK/86"
RØ,3359,"HGL/86, RO/86"
RØ,4267,"HG/86, NÆ/86"
M,12392,"KH/86, HGL/86"
RØ,1565,"KK/86, KB/86"
RØ,2595,"HG/86, HK/86"
RØ,2479,"KK/86, NÆ/86"
RØ,2563,"HG/86, HK/86"
IC,148,"FA/86, KK/86"
RØ,2475,"KH/86, NÆ/86"
RR,2776,"FA/86, OD/86"
IC,2369,"ES/86, FA/86"
IC,2344,"FA/86, ES/86"
RØ,2248,"NÆ/86, HG/86"
M,9782,"CPH/86, HGL/86"
RØ,4414,"NÆ/86, KK/86"
M,9302,"CPH/86, KH/86"
RØ,4222,"NÆ/86, HG/86"
RV,3958,"AR/86, FA/86"
RØ,3442,"KH/86, HG/86"
EX,395,"KH/86, HMB/80"
RØ,1232,"NF/86, KH/86"
M,9701,"HGL/86, CPH/86"
RØ,2471,"KH/86, NÆ/86"
RØ,4291,"HG/86, KH/86"
RØ,2244,"NÆ/86, HG/86"
IC,153,"KK/86, FA/86"
M,9360,"CPH/86, KH/86"
IC,4129,"AR/86, ABL/86"
EX,396,"HMB/80, KH/86"
RV,4764,"FA/86, OD/86"
RØ,275,"CPH/86, SG/86"
RV,2741,"OD/86, FA/86"
RØ,2535,"HG/86, HK/86"
RØ,1241,"KH/86, NF/86"
IC,128,"FA/86, KK/86"
M,12394,"KH/86, HGL/86"
RV,2913,"FA/86, AR/86"
RØ,1212,"NF/86, KH/86"
RV,2912,"AR/86, FA/86"
L,75,"CPH/86, FA/86, VJ/86, AR/86"
IC,2374,"FA/86, ES/86"
L,943,"FA/86, SDB/86"
L,4014,"AB/86, AR/86"
RØ,2502,"HK/86, HG/86"
RR,4708,"FA/86, OD/86"
IC,5751,"FA/86, FLB/80"
IC,4140,"ABL/86, AR/86"
RØ,1591,"KH/86, KB/86"
RØ,1253,"KH/86, NF/86"
RØ,2273,"HG/86, NÆ/86"
RØ,258,"SG/86, CPH/86"
RØ,4561,"HG/86, HK/86"
IC,484,"AR/86, KD/86"
RØ,2534,"HK/86, HG/86"
RV,2710,"FA/86, OD/86"
L,4051,"AR/86, ABL/86"
IC,2345,"ES/86, FA/86"
IC,4105,"AR/86, ABL/86"
RV,4772,"FA/86, OD/86"
L,70,"AR/86, VJ/86, FA/86, CPH/86"
RØ,2200,"KH/86, HG/86"
RØ,2491,"KH/86, NÆ/86"
IC,1407,"CPH/86, KH/86"
RØ,4585,"HG/86, KH/86"
RØ,2432,"NÆ/86, KK/86"
L,731,"FA/86, STR/86"
RV,2964,"AR/86, FA/86"
IC,838,"ES/86, OD/86, HGL/86"
RØ,1560,"KB/86, KK/86"
IC,4116,"AB/86, AR/86"
RØ,4425,"KK/86, NÆ/86"
RV,2960,"AR/86, FA/86"
L,4031,"AR/86, ABL/86"
RØ,4808,"NF/86, NÆ/86"
RØ,1225,"KH/86, NF/86"
L,4067,"AR/86, AB/86"
RØ,4516,"HK/86, HG/86"
L,966,"SDB/86, FA/86"
RØ,2474,"NÆ/86, KK/86"
IC,176,"AR/86, FA/86, KH/86"
RØ,1556,"KB/86, HGL/86"
RØ,2281,"HG/86, NÆ/86"
RØ,4500,"KH/86, HG/86"
RØ,1285,"KH/86, NF/86"
RØ,4457,"KK/86, NÆ/86"
RV,2941,"FA/86, AR/86"
L,4050,"ABL/86, AR/86"
RØ,4287,"HG/86, KH/86"
RØ,1244,"NF/86, KH/86"
L,4046,"ABL/86, AR/86"
L,4074,"AB/86, AR/86"
RØ,4857,"NÆ/86, NF/86"
IC,164,"FA/86, KH/86"
RØ,3465,"HG/86, KH/86"
IC,4125,"AR/86, ABL/86"
M,9797,"HGL/86, CPH/86"
RØ,2599,"HG/86, KH/86"
RV,4732,"FA/86, OD/86"
RØ,4573,"HG/86, HK/86"
RØ,4449,"KK/86, NÆ/86"
RØ,4223,"HG/86, NÆ/86"
IC,182,"AR/86, FA/86, KH/86"
IC,251,"CPH/86, OD/86"
RØ,4865,"NÆ/86, NF/86"
RØ,2495,"KH/86, NÆ/86"
EX,394,"HMB/80, KH/86"
IC,2304,"FA/86, ES/86"
RØ,1557,"KK/86, KB/86"
RØ,4429,"KH/86, NÆ/86"
IC,4190,"ABL/86, AR/86"
L,746,"STR/86, FA/86"
RØ,1277,"KH/86, NF/86"
RV,2976,"AR/86, FA/86"
IC,165,"KK/86, FA/86"
RØ,2531,"HG/86, HK/86"
L,34,"AR/86, VJ/86, FA/86, CPH/86"
RØ,4204,"VO/86, HG/86"
M,12396,"KH/86, HGL/86"
RØ,2483,"KK/86, NÆ/86"
IC,5756,"FLB/80, FA/86"
IC,412,"AR/86, FA/86"
RØ,2260,"NÆ/86, HG/86"
IC,485,"FA/86, AR/86"
IC,2340,"FA/86, ES/86"
RV,2920,"AR/86, FA/86"
RØ,4258,"RO/86, HG/86"
IC,149,"KK/86, FA/86"
RØ,3555,"KK/86, KB/86"
