TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
1291,IC,2371,ES/86,FA/86,1203,1267,78,1xERF
1294,IC,2374,FA/86,ES/86,1311,1374,35,1xERF
1297,IC,2376,FA/86,ES/86,1392,1455,55,1xERF
1300,IC,2377,ES/86,FA/86,1263,1327,48,1xEB15Talgo
1303,IC,2383,ES/86,FA/86,1361,1425,26,1xERF
1306,IC,2387,ES/86,FA/86,1421,1485,3,1xERF
1309,RØ,2400,NÆ/86,KH/86,276,343,55,1xEB4DD
1312,RØ,2404,NÆ/86,KH/86,336,403,122,1xEB4DD
1315,RØ,2408,NÆ/86,KH/86,396,463,300,1xEB5DD
1318,RØ,2412,NÆ/86,KK/86,456,532,231,"1xERF, 1xICA"
